#汉字	Unicode
捻	637B
念	5FF5
娘	5A18
釀	91C0
鳥	9CE5
尿	5C3F
捏	634F
聶	8076
孽	5B7D
嚙	5699
鑷	9477
鎳	93B3
涅	6D85
您	60A8
檸	6AB8
獰	7370
凝	51DD
寧	5BE7
擰	64F0
濘	6FD8
牛	725B
扭	626D
鈕	9215
紐	7D10
膿	81BF
濃	6FC3
農	8FB2
弄	5F04
奴	5974
努	52AA
怒	6012
女	5973
暖	6696
虐	8650
瘧	7627
挪	632A
懦	61E6
糯	7CEF
諾	8AFE
哦	54E6
歐	6B50
鷗	9DD7
毆	6BC6
藕	85D5
嘔	5614
偶	5076
漚	6F1A
啪	556A
趴	8DB4
爬	722C
帕	5E15
怕	6015
琶	7436
拍	62CD
排	6392
牌	724C
徘	5F98
湃	6E43
派	6D3E
攀	6500
潘	6F58
盤	76E4
磐	78D0
盼	76FC
畔	7554
判	5224
叛	53DB
乓	4E53
龐	9F90
旁	65C1
耪	802A
胖	80D6
抛	629B
咆	5486
刨	5228
炮	70AE
袍	888D
跑	8DD1
泡	6CE1
呸	5478
胚	80DA
培	57F9
裴	88F4
賠	8CE0
陪	966A
配	914D
佩	4F69
沛	6C9B
噴	5674
盆	76C6
砰	7830
抨	62A8
烹	70F9
澎	6F8E
彭	5F6D
蓬	84EC
棚	68DA
硼	787C
篷	7BF7
膨	81A8
朋	670B
鵬	9D6C
捧	6367
碰	78B0
坯	576F
砒	7812
霹	9739
批	6279
披	62AB
劈	5288
琵	7435
毗	6BD7
啤	5564
脾	813E
疲	75B2
皮	76AE
匹	5339
痞	75DE
僻	50FB
屁	5C41
譬	8B6C
篇	7BC7
偏	504F
片	7247
騙	9A19
飄	98C4
